"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"43","Wayne Gallman",NYG,"vs. TB","1 out of 5 stars","D","6.2"
"44","Tony Pollard",DAL,"at PHI","2 out of 5 stars","D-","6.2"
"45","Brian Hill",ATL,"at CAR","5 out of 5 stars","D-","6.1"
"46","Devonta Freeman",NYG,"vs. TB","1 out of 5 stars","D+","6.0"
"47","Alexander Mattison",MIN,"at GB","5 out of 5 stars","D-","5.8"
"48","Corey Clement",PHI,"vs. DAL","5 out of 5 stars","F","5.7"
"49","D'Ernest Johnson",CLE,"vs. LV","5 out of 5 stars","F","5.7"
"50","Benny Snell Jr.",PIT,"at BAL","2 out of 5 stars","F","5.7"
"51","Travis Homer",SEA,"vs. SF","1 out of 5 stars","F","5.4"
"52","Jalen Richard",LV,"at CLE","3 out of 5 stars","F","5.3"
"53","Matt Breida",MIA,"vs. LAR","2 out of 5 stars","F","4.9"
"54","Kerryon Johnson",DET,"vs. IND","2 out of 5 stars","F","4.9"
"55","Dion Lewis",NYG,"vs. TB","1 out of 5 stars","F","4.7"
"56","Ito Smith",ATL,"at CAR","5 out of 5 stars","F","4.6"
"57","Kyle Juszczyk",SF,"at SEA","2 out of 5 stars","F","4.4"
"58","Cam Akers",LAR,"at MIA","5 out of 5 stars","F","4.2"
"59","DeeJay Dallas",SEA,"vs. SF","1 out of 5 stars","F","4.1"
"60","Royce Freeman",DEN,"vs. LAC","2 out of 5 stars","F","4.0"
"61","Anthony McFarland Jr.",PIT,"at BAL","2 out of 5 stars","F","3.8"
"62","Devontae Booker",LV,"at CLE","3 out of 5 stars","F","3.6"
"63","Jeremy McNichols",TEN,"at CIN","2 out of 5 stars","F","3.5"
"64","AJ Dillon",GB,"vs. MIN","3 out of 5 stars","F","3.5"
"65","Jordan Wilkins",IND,"at DET","4 out of 5 stars","F","3.4"
"66","Samaje Perine",CIN,"vs. TEN","5 out of 5 stars","F","3.4"
"67","Dontrell Hilliard",CLE,"vs. LV","5 out of 5 stars","F","3.3"
"68","Joe Mixon",CIN,"vs. TEN","5 out of 5 stars","D","3.3"
"69","LeSean McCoy",TB,"at NYG","4 out of 5 stars","F","3.0"
"70","Darrel Williams",KC,"vs. NYJ","5 out of 5 stars","F","3.0"
"71","Jason Huntley",PHI,"vs. DAL","5 out of 5 stars","F","2.7"
"72","Jaylen Samuels",PIT,"at BAL","2 out of 5 stars","F","2.7"
"73","Trenton Cannon",CAR,"vs. ATL","2 out of 5 stars","F","2.5"
"74","Mark Ingram II",BAL,"vs. PIT","1 out of 5 stars","F","2.5"
"75","Chris Carson",SEA,"vs. SF","1 out of 5 stars","F","2.2"
"76","Trayveon Williams",CIN,"vs. TEN","5 out of 5 stars","F","2.0"
"77","Jakob Johnson",NE,"at BUF","5 out of 5 stars","F","2.0"
"78","Alex Armah",CAR,"vs. ATL","2 out of 5 stars","F","1.8"
"79","Ty Johnson",NYJ,"at KC","3 out of 5 stars","F","1.7"
"80","Ke'Shawn Vaughn",TB,"at NYG","4 out of 5 stars","F","1.7"
"81","Alec Ingold",LV,"at CLE","3 out of 5 stars","F","1.4"
"82","Ryan Nall",CHI,"vs. NO","1 out of 5 stars","F","1.4"
"83","Troymaine Pope",LAC,"at DEN","1 out of 5 stars","F","1.4"
"84","Christian McCaffrey",CAR,"vs. ATL","2 out of 5 stars","F","1.3"
"85","Elijhaa Penny",NYG,"vs. TB","1 out of 5 stars","F","1.3"
"86","Andy Janovich",CLE,"vs. LV","5 out of 5 stars","F","1.3"
"87","DeAndre Washington",KC,"vs. NYJ","5 out of 5 stars","F","1.2"
"88","Darwin Thompson",KC,"vs. NYJ","5 out of 5 stars","F","1.2"
"89","Miles Sanders",PHI,"vs. DAL","5 out of 5 stars","F","1.2"
"90","Keith Smith",ATL,"at CAR","5 out of 5 stars","F","1.2"
"91","Justice Hill",BAL,"vs. PIT","1 out of 5 stars","F","1.1"
"92","Michael Burton",NO,"at CHI","3 out of 5 stars","F","1.1"
"93","Reggie Gilliam",BUF,"vs. NE","3 out of 5 stars","F","1.0"
"94","Dexter Williams",GB,"vs. MIN","3 out of 5 stars","F","1.0"
"95","Lynn Bowden Jr.",MIA,"vs. LAR","2 out of 5 stars","F","1.0"
"96","Ameer Abdullah",MIN,"at GB","5 out of 5 stars","F","1.0"
"97","T.J. Yeldon",BUF,"vs. NE","3 out of 5 stars","F","1.0"
"98","Tyler Ervin",GB,"vs. MIN","3 out of 5 stars","F","0.9"
"99","C.J. Ham",MIN,"at GB","5 out of 5 stars","F","0.8"
"100","Rico Dowdle",DAL,"at PHI","2 out of 5 stars","F","0.7"
"101","Ty Montgomery",NO,"at CHI","3 out of 5 stars","F","0.7"
"102","Patrick Laird",MIA,"vs. LAR","2 out of 5 stars","F","0.6"
"103","Anthony Sherman",KC,"vs. NYJ","5 out of 5 stars","F","0.6"
"104","Mike Boone",MIN,"at GB","5 out of 5 stars","F","0.6"
"105","Patrick Ricard",BAL,"vs. PIT","1 out of 5 stars","F","0.5"
"106","Jordan Howard",MIA,"vs. LAR","2 out of 5 stars","F","0.4"
"107","Khari Blasingame",TEN,"at CIN","2 out of 5 stars","F","0.3"
"108","Josh Adams",NYJ,"at KC","3 out of 5 stars","F","0.3"
"109","Taiwan Jones",BUF,"vs. NE","3 out of 5 stars","F","0.2"
"110","Kalen Ballage",LAC,"at DEN","1 out of 5 stars","F","0.1"
