"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"71","David Moore",SEA,"at BUF","2 out of 5 stars","F","6.9"
"72","Emmanuel Sanders",NO,"at TB","3 out of 5 stars","D-","6.7"
"73","Gabriel Davis",BUF,"vs. SEA","5 out of 5 stars","F","6.7"
"74","Trent Taylor",SF,"vs. GB","1 out of 5 stars","F","6.6"
"75","DaeSean Hamilton",DEN,"at ATL","5 out of 5 stars","F","6.6"
"76","Jeff Smith",NYJ,"vs. NE","2 out of 5 stars","F","6.5"
"77","Willie Snead IV",BAL,"at IND","3 out of 5 stars","F","6.3"
"78","Deonte Harris",NO,"at TB","3 out of 5 stars","F","6.2"
"79","Andy Isabella",ARI,"vs. MIA","3 out of 5 stars","F","6.1"
"80","Larry Fitzgerald",ARI,"vs. MIA","3 out of 5 stars","F","6.0"
"81","Devin Duvernay",BAL,"at IND","3 out of 5 stars","F","6.0"
"82","Allen Lazard",GB,"at SF","3 out of 5 stars","F","6.0"
"83","T.Y. Hilton",IND,"vs. BAL","2 out of 5 stars","F","5.9"
"84","Jakeem Grant",MIA,"at ARI","3 out of 5 stars","F","5.8"
"85","N'Keal Harry",NE,"at NYJ","4 out of 5 stars","F","5.7"
"86","Tyler Johnson",TB,"vs. NO","5 out of 5 stars","F","5.7"
"87","Miles Boykin",BAL,"at IND","3 out of 5 stars","F","5.6"
"88","Olamide Zaccheaus",ATL,"vs. DEN","3 out of 5 stars","F","5.6"
"89","Cordarrelle Patterson",CHI,"at TEN","5 out of 5 stars","F","5.6"
"90","Kalif Raymond",TEN,"vs. CHI","1 out of 5 stars","F","5.5"
"91","Byron Pringle",KC,"vs. CAR","1 out of 5 stars","F","5.5"
"92","Adam Humphries",TEN,"vs. CHI","1 out of 5 stars","F","5.5"
"93","Christian Blake",ATL,"vs. DEN","3 out of 5 stars","F","5.4"
"94","Breshad Perriman",NYJ,"vs. NE","2 out of 5 stars","F","5.3"
"95","Quintez Cephus",DET,"at MIN","5 out of 5 stars","F","5.2"
"96","Chris Conley",JAC,"vs. HOU","5 out of 5 stars","F","5.1"
"97","Isaiah McKenzie",BUF,"vs. SEA","5 out of 5 stars","F","5.0"
"98","Isaiah Ford",NE,"at NYJ","4 out of 5 stars","F","5.0"
"99","Kenny Stills",HOU,"at JAC","4 out of 5 stars","F","4.8"
"100","Freddie Swain",SEA,"at BUF","2 out of 5 stars","F","4.4"
"101","Cedrick Wilson",DAL,"vs. PIT","5 out of 5 stars","F","4.4"
"102","Cam Sims",WAS,"vs. NYG","4 out of 5 stars","F","4.3"
"103","Chad Beebe",MIN,"vs. DET","4 out of 5 stars","F","4.1"
"104","Darrius Shepherd",GB,"at SF","3 out of 5 stars","F","3.9"
"105","Dontrelle Inman",WAS,"vs. NYG","4 out of 5 stars","F","3.8"
"106","Bryan Edwards",LV,"at LAC","3 out of 5 stars","F","3.8"
"107","Marquez Callaway",NO,"at TB","3 out of 5 stars","F","3.7"
"108","Kenny Golladay",DET,"at MIN","5 out of 5 stars","F","3.7"
"109","Chris Godwin",TB,"vs. NO","5 out of 5 stars","F","3.7"
"110","Richie James Jr.",SF,"vs. GB","1 out of 5 stars","F","3.7"
"111","Zay Jones",LV,"at LAC","3 out of 5 stars","F","3.4"
"112","Equanimeous St. Brown",GB,"at SF","3 out of 5 stars","F","3.3"
"113","Gunner Olszewski",NE,"at NYJ","4 out of 5 stars","F","3.3"
"114","Malik Taylor",GB,"at SF","3 out of 5 stars","F","3.2"
"115","Ray-Ray McCloud",PIT,"at DAL","4 out of 5 stars","F","2.9"
"116","Isaiah Wright",WAS,"vs. NYG","4 out of 5 stars","F","2.9"
"117","Justin Watson",TB,"vs. NO","5 out of 5 stars","F","2.8"
"118","Sammy Watkins",KC,"vs. CAR","1 out of 5 stars","F","2.4"
"119","Austin Carr",NO,"at TB","3 out of 5 stars","F","2.4"
"120","Brandon Powell",ATL,"vs. DEN","3 out of 5 stars","F","2.4"
"121","Ashton Dulin",IND,"vs. BAL","2 out of 5 stars","F","2.4"
"122","Isaiah Zuber",NE,"at NYJ","4 out of 5 stars","F","2.4"
"123","Kevin White",SF,"vs. GB","1 out of 5 stars","F","2.3"
"124","Collin Johnson",JAC,"vs. HOU","5 out of 5 stars","F","2.3"
"125","Olabisi Johnson",MIN,"vs. DET","4 out of 5 stars","F","2.3"
"126","Marcus Kemp",KC,"vs. CAR","1 out of 5 stars","F","2.1"
"127","Noah Brown",DAL,"vs. PIT","5 out of 5 stars","F","1.9"
"128","Juwan Johnson",NO,"at TB","3 out of 5 stars","F","1.8"
"129","Brandon Zylstra",CAR,"at KC","2 out of 5 stars","F","1.8"
"130","Vyncint Smith",NYJ,"vs. NE","2 out of 5 stars","F","1.7"
"131","Pharoh Cooper",CAR,"at KC","2 out of 5 stars","F","-"
"132","James Proche",BAL,"at IND","3 out of 5 stars","F","-"
"133","K.J. Hill",LAC,"vs. LV","3 out of 5 stars","F","-"
"134","Jaydon Mickens",TB,"vs. NO","5 out of 5 stars","F","-"
"135","Austin Mack",NYG,"at WAS","1 out of 5 stars","F","-"
"136","Joe Reed",LAC,"vs. LV","3 out of 5 stars","F","-"
"137","Tyron Johnson",LAC,"vs. LV","3 out of 5 stars","F","-"
"138","Nick Westbrook-Ikhine",TEN,"vs. CHI","1 out of 5 stars","F","-"
"139","Mack Hollins",MIA,"at ARI","3 out of 5 stars","F","-"
"140","Andre Roberts",BUF,"vs. SEA","5 out of 5 stars","F","-"
"141","River Cracraft",SF,"vs. GB","1 out of 5 stars","F","-"
"142","DeAndre Carter",HOU,"at JAC","4 out of 5 stars","F","-"
"143","Chris Finke",SF,"vs. GB","1 out of 5 stars","F","-"
