"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"48","Preston Williams",MIA,"vs. LAR","1 out of 5 stars","C-","9.3"
"49","Marquez Valdes-Scantling",GB,"vs. MIN","5 out of 5 stars","C-","9.2"
"50","Scotty Miller",TB,"at NYG","4 out of 5 stars","C-","9.0"
"51","Curtis Samuel",CAR,"vs. ATL","5 out of 5 stars","D+","8.9"
"52","Denzel Mims",NYJ,"at KC","2 out of 5 stars","D","8.8"
"53","Golden Tate",NYG,"vs. TB","3 out of 5 stars","D+","8.7"
"54","Demarcus Robinson",KC,"vs. NYJ","3 out of 5 stars","D+","8.5"
"55","Adam Humphries",TEN,"at CIN","5 out of 5 stars","D","8.3"
"56","Greg Ward",PHI,"vs. DAL","4 out of 5 stars","D","8.2"
"57","Hunter Renfrow",LV,"at CLE","5 out of 5 stars","D-","8.0"
"58","Kendrick Bourne",SF,"at SEA","5 out of 5 stars","D","8.0"
"59","Darnell Mooney",CHI,"vs. NO","3 out of 5 stars","D-","7.9"
"60","Breshad Perriman",NYJ,"at KC","2 out of 5 stars","D","7.9"
"61","Anthony Miller",CHI,"vs. NO","3 out of 5 stars","F","7.8"
"62","Russell Gage",ATL,"at CAR","1 out of 5 stars","F","7.6"
"63","Damiere Byrd",NE,"at BUF","1 out of 5 stars","F","7.5"
"64","James Washington",PIT,"at BAL","2 out of 5 stars","F","7.4"
"65","Marquez Callaway",NO,"at CHI","1 out of 5 stars","F","7.2"
"66","Danny Amendola",DET,"vs. IND","3 out of 5 stars","F","6.9"
"67","Gabriel Davis",BUF,"vs. NE","3 out of 5 stars","F","6.9"
"68","Braxton Berrios",NYJ,"at KC","2 out of 5 stars","F","6.9"
"69","Josh Reynolds",LAR,"at MIA","2 out of 5 stars","F","6.6"
"70","Zach Pascal",IND,"at DET","4 out of 5 stars","F","6.6"
"71","N'Keal Harry",NE,"at BUF","1 out of 5 stars","F","6.6"
"72","David Moore",SEA,"vs. SF","2 out of 5 stars","F","6.5"
"73","Tyler Johnson",TB,"at NYG","4 out of 5 stars","F","6.4"
"74","Jalen Guyton",LAC,"at DEN","2 out of 5 stars","F","6.3"
"75","Marcus Johnson",IND,"at DET","4 out of 5 stars","F","6.3"
"76","KJ Hamler",DEN,"vs. LAC","2 out of 5 stars","F","6.2"
"77","John Hightower",PHI,"vs. DAL","4 out of 5 stars","F","6.1"
"78","Deonte Harris",NO,"at CHI","1 out of 5 stars","F","6.1"
"79","Jeff Smith",NYJ,"at KC","2 out of 5 stars","F","5.9"
"80","Cordarrelle Patterson",CHI,"vs. NO","3 out of 5 stars","F","5.8"
"81","Donovan Peoples-Jones",CLE,"vs. LV","4 out of 5 stars","F","5.6"
"82","John Brown",BUF,"vs. NE","3 out of 5 stars","F","5.4"
"83","Byron Pringle",KC,"vs. NYJ","3 out of 5 stars","F","5.0"
"84","Isaiah McKenzie",BUF,"vs. NE","3 out of 5 stars","F","4.8"
"85","Olamide Zaccheaus",ATL,"at CAR","1 out of 5 stars","F","4.8"
"86","Darrius Shepherd",GB,"vs. MIN","5 out of 5 stars","F","4.8"
"87","Cedrick Wilson",DAL,"at PHI","4 out of 5 stars","F","4.8"
"88","Isaiah Ford",MIA,"vs. LAR","1 out of 5 stars","F","4.8"
"89","Trent Taylor",SF,"at SEA","5 out of 5 stars","F","4.7"
"90","Mike Thomas",CIN,"vs. TEN","5 out of 5 stars","F","4.7"
"91","Freddie Swain",SEA,"vs. SF","2 out of 5 stars","F","4.5"
"92","DaeSean Hamilton",DEN,"vs. LAC","2 out of 5 stars","F","4.5"
"93","Zay Jones",LV,"at CLE","5 out of 5 stars","F","4.2"
"94","Kalif Raymond",TEN,"at CIN","5 out of 5 stars","F","3.8"
"95","Van Jefferson",LAR,"at MIA","2 out of 5 stars","F","3.7"
"96","Malik Taylor",GB,"vs. MIN","5 out of 5 stars","F","3.7"
"97","Jakobi Meyers",NE,"at BUF","1 out of 5 stars","F","3.7"
"98","JJ Arcega-Whiteside",PHI,"vs. DAL","4 out of 5 stars","F","3.6"
"99","Devin Duvernay",BAL,"vs. PIT","5 out of 5 stars","F","3.4"
"100","Justin Watson",TB,"at NYG","4 out of 5 stars","F","3.3"
"101","Brandon Powell",ATL,"at CAR","1 out of 5 stars","F","3.3"
"102","Jakeem Grant",MIA,"vs. LAR","1 out of 5 stars","F","3.3"
"103","Marvin Hall",DET,"vs. IND","3 out of 5 stars","F","3.0"
"104","Christian Blake",ATL,"at CAR","1 out of 5 stars","F","3.0"
"105","Richie James Jr.",SF,"at SEA","5 out of 5 stars","F","3.0"
"106","Michael Thomas",NO,"at CHI","1 out of 5 stars","F","2.9"
"107","Ray-Ray McCloud",PIT,"at BAL","2 out of 5 stars","F","2.8"
"108","Jamison Crowder",NYJ,"at KC","2 out of 5 stars","F","2.8"
"109","Willie Snead IV",BAL,"vs. PIT","5 out of 5 stars","F","2.7"
"110","Austin Mack",NYG,"vs. TB","3 out of 5 stars","F","2.6"
"111","Jalen Reagor",PHI,"vs. DAL","4 out of 5 stars","F","2.5"
"112","Miles Boykin",BAL,"vs. PIT","5 out of 5 stars","F","2.5"
"113","Keith Kirkwood",CAR,"vs. ATL","5 out of 5 stars","F","2.4"
"114","KhaDarel Hodge",CLE,"vs. LV","4 out of 5 stars","F","2.4"
"115","Cam Batson",TEN,"at CIN","5 out of 5 stars","F","2.4"
"116","Chad Beebe",MIN,"at GB","2 out of 5 stars","F","2.1"
"117","Javon Wims",CHI,"vs. NO","3 out of 5 stars","F","1.9"
"118","Auden Tate",CIN,"vs. TEN","5 out of 5 stars","F","1.8"
"119","Olabisi Johnson",MIN,"at GB","2 out of 5 stars","F","1.7"
"120","Emmanuel Sanders",NO,"at CHI","1 out of 5 stars","F","1.9"
"121","Sammy Watkins",KC,"vs. NYJ","3 out of 5 stars","F","1.9"
"122","Alshon Jeffery",PHI,"vs. DAL","4 out of 5 stars","F","1.8"
"123","Noah Brown",DAL,"at PHI","4 out of 5 stars","F","1.7"
"124","K.J. Hill",LAC,"at DEN","2 out of 5 stars","F","1.6"
"125","Tyron Johnson",LAC,"at DEN","2 out of 5 stars","F","1.6"
"126","Austin Carr",NO,"at CHI","1 out of 5 stars","F","1.6"
"127","Marcus Kemp",KC,"vs. NYJ","3 out of 5 stars","F","1.5"
"128","Taywan Taylor",CLE,"vs. LV","4 out of 5 stars","F","1.4"
"129","Pharoh Cooper",CAR,"vs. ATL","5 out of 5 stars","F","1.3"
"130","Andre Roberts",BUF,"vs. NE","3 out of 5 stars","F","1.3"
"131","Ashton Dulin",IND,"at DET","4 out of 5 stars","F","1.2"
"132","Equanimeous St. Brown",GB,"vs. MIN","5 out of 5 stars","F","1.2"
"133","Joe Reed",LAC,"at DEN","2 out of 5 stars","F","1.1"
"134","Gunner Olszewski",NE,"at BUF","1 out of 5 stars","F","1.0"
"135","Ted Ginn Jr.",CHI,"vs. NO","3 out of 5 stars","F","1.0"
"136","John Ross",CIN,"vs. TEN","5 out of 5 stars","F","1.0"
"137","Alex Erickson",CIN,"vs. TEN","5 out of 5 stars","F","0.9"
"138","Vyncint Smith",NYJ,"at KC","2 out of 5 stars","F","0.9"
"139","Jaydon Mickens",TB,"at NYG","4 out of 5 stars","F","0.7"
"140","James Proche",BAL,"vs. PIT","5 out of 5 stars","F","0.7"
"141","Rico Gafford",LV,"at CLE","-","F","0.6"
"142","Tyrie Cleveland",DEN,"vs. LAC","2 out of 5 stars","F","0.6"
"143","Isaiah Zuber",NE,"at BUF","1 out of 5 stars","F","0.5"
"144","De'Michael Harris",IND,"at DET","4 out of 5 stars","F","0.4"
"145","Brandon Zylstra",CAR,"vs. ATL","5 out of 5 stars","F","0.3"
"146","Nick Westbrook-Ikhine",TEN,"at CIN","5 out of 5 stars","F","0.3"
"147","Tajae Sharpe",MIN,"at GB","2 out of 5 stars","F","0.3"
"148","Cyril Grayson Jr.",TB,"at NYG","4 out of 5 stars","F","0.2"
"149","Dante Pettis",SF,"at SEA","5 out of 5 stars","F","0.2"
"150","Duke Williams",BUF,"vs. NE","3 out of 5 stars","F","0.2"
"151","Hakeem Butler",PHI,"vs. DAL","4 out of 5 stars","F","0.1"
"152","Juwan Johnson",NO,"at CHI","1 out of 5 stars","F","0.1"
"153","Quintez Cephus",DET,"vs. IND","3 out of 5 stars","F","0.1"
