"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"19","Zay Flowers",BAL,"vs. DET","3 out of 5 stars","5.4","A-","13.6","-0.5","33% (2/6)","17%","Bad"
"20","DJ Moore",CHI,"vs. LV","3 out of 5 stars","5.6","A-","13.5","+3.0","62% (10/16)","12%","Great"
"21","Christian Kirk",JAC,"at NO","3 out of 5 stars","6.8","A-","13.5","-0.6","50% (8/16)","7%","Great"
"22","Calvin Ridley",JAC,"at NO","3 out of 5 stars","5.6","A-","13.4","-2.2","33% (2/6)","18%","Poor"
"23","Terry McLaurin",WAS,"at NYG","3 out of 5 stars","6.0","B+","13.4","-0.9","50% (8/16)","5%","Average"
"24","Michael Pittman Jr.",IND,"vs. CLE","1 out of 5 stars","3.0","B+","13.2","-1.5","37% (6/16)","14%","Bad"
"25","Jakobi Meyers",LV,"at CHI","4 out of 5 stars","7.8","B","13.2","+1.3","50% (7/14)","19%","Average"
"26","Joshua Palmer",LAC,"at KC","3 out of 5 stars","5.8","B","12.9","-0.2","20% (3/15)","8%","Bad"
"27","Christian Watson",GB,"at DEN","4 out of 5 stars","7.8","B","12.9","+3.2","54% (6/11)","14%","Average"
"28","Jordan Addison",MIN,"vs. SF","3 out of 5 stars","7.2","B-","12.1","+1.3","50% (3/6)","15%","Good"
"29","George Pickens",PIT,"at LAR","2 out of 5 stars","3.4","B","11.9","+0.6","53% (8/15)","13%","Great"
"30","Drake London",ATL,"at TB","3 out of 5 stars","7.2","C+","11.7","-0.4","50% (8/16)","18%","Average"
"31","Michael Thomas",NO,"vs. JAC","3 out of 5 stars","5.6","B-","11.6","-0.9","16% (1/6)","13%","Bad"
"32","Courtland Sutton",DEN,"vs. GB","2 out of 5 stars","3.8","C+","11.3","-2.3","35% (5/14)","17%","Great"
"33","Diontae Johnson",PIT,"at LAR","2 out of 5 stars","3.4","C+","11.3","-1.7","18% (2/11)","11%","Bad"
"34","Jerry Jeudy",DEN,"vs. GB","2 out of 5 stars","4.4","C+","11.2","-0.4","46% (6/13)","12%","Bad"
"35","Romeo Doubs",GB,"at DEN","4 out of 5 stars","7.8","C+","11.0","0.0","54% (6/11)","14%","Good"
"36","K.J. Osborn",MIN,"vs. SF","3 out of 5 stars","6.8","C","10.6","+1.9","50% (8/16)","12%","Average"
"37","Gabe Davis",BUF,"at NE","3 out of 5 stars","5.0","C+","10.3","-1.0","37% (6/16)","16%","Good"
"38","Curtis Samuel",WAS,"at NYG","3 out of 5 stars","4.6","C+","10.1","+1.3","68% (11/16)","16%","Average"
"39","Rashee Rice",KC,"vs. LAC","4 out of 5 stars","8.2","C","9.8","+1.8","66% (4/6)","7%","Good"
"40","Elijah Moore",CLE,"at IND","4 out of 5 stars","6.8","C","9.8","-1.5","21% (3/14)","6%","Bad"
"41","Josh Downs",IND,"vs. CLE","1 out of 5 stars","2.6","C","9.6","+1.5","66% (4/6)","12%","Bad"
"42","Wan'Dale Robinson",NYG,"vs. WAS","4 out of 5 stars","6.4","C","9.6","+0.2","62% (5/8)","3%","Bad"
"43","Kendrick Bourne",NE,"vs. BUF","4 out of 5 stars","7.8","C","9.5","+1.3","40% (6/15)","15%","Average"
"44","Jaxon Smith-Njigba",SEA,"vs. ARI","4 out of 5 stars","8.2","C","9.3","-3.4","20% (1/5)","4%","Bad"
"45","Tutu Atwell",LAR,"vs. PIT","3 out of 5 stars","5.6","C","8.5","+0.3","57% (8/14)","17%","Average"
"46","Michael Wilson",ARI,"at SEA","3 out of 5 stars","6.2","C","8.4","+3.6","66% (4/6)","10%","Great"
"47","Rashid Shaheed",NO,"vs. JAC","3 out of 5 stars","5.8","C-","8.4","+3.1","62% (10/16)","10%","Poor"
"48","Jahan Dotson",WAS,"at NYG","3 out of 5 stars","4.8","C-","8.3","-0.6","30% (4/13)","8%","Poor"
"49","Rondale Moore",ARI,"at SEA","3 out of 5 stars","6.6","C-","8.2","-0.1","45% (5/11)","2%","Great"
"50","Josh Reynolds",DET,"at BAL","3 out of 5 stars","5.2","C-","8.0","0.0","42% (6/14)","16%","Good"
"51","Kadarius Toney",KC,"vs. LAC","4 out of 5 stars","8.0","C-","7.5","-2.1","30% (4/13)","8%","Bad"
"52","Brandon Powell",MIN,"vs. SF","3 out of 5 stars","5.0","C-","7.4","-0.9","13% (2/15)","4%","Bad"
"53","Jayden Reed",GB,"at DEN","4 out of 5 stars","8.6","C-","7.3","+0.3","40% (2/5)","19%","Poor"
"54","Darius Slayton",NYG,"vs. WAS","4 out of 5 stars","7.4","D+","7.2","0.0","50% (8/16)","4%","Bad"
"55","Skyy Moore",KC,"vs. LAC","4 out of 5 stars","8.0","D+","6.5","-1.6","25% (4/16)","5%","Average"
"56","Darnell Mooney",CHI,"vs. LV","3 out of 5 stars","5.6","D","6.4","-1.5","41% (5/12)","12%","Poor"
"57","Jauan Jennings",SF,"at MIN","3 out of 5 stars","5.8","D","6.3","+0.3","42% (6/14)","3%","Bad"
"58","DeVante Parker",NE,"vs. BUF","4 out of 5 stars","7.4","D","6.3","-2.0","27% (3/11)","4%","Bad"
"59","Braxton Berrios",MIA,"at PHI","3 out of 5 stars","6.4","D","6.2","-1.3","25% (4/16)","3%","Good"
"60","Jameson Williams",DET,"at BAL","3 out of 5 stars","5.4","F","5.7","-0.3","42% (3/7)","6%","Great"
"61","Odell Beckham Jr.",BAL,"vs. DET","3 out of 5 stars","5.8","F","5.6","-3.0","0% (0/4)","10%","Bad"
"62","Trey Palmer",TB,"vs. ATL","2 out of 5 stars","5.2","D-","5.4","+0.9","60% (3/5)","11%","Good"
"63","Marvin Mims Jr.",DEN,"vs. GB","2 out of 5 stars","5.2","F","5.3","+1.7","33% (2/6)","8%","Average"
"64","Jalin Hyatt",NYG,"vs. WAS","4 out of 5 stars","7.0","F","5.3","-0.3","50% (3/6)","3%","Bad"
"65","Allen Robinson II",PIT,"at LAR","2 out of 5 stars","-","F","5.3","-0.7","33% (3/9)","8%","Bad"
"66","Nelson Agholor",BAL,"vs. DET","3 out of 5 stars","5.4","F","5.3","-0.5","31% (5/16)","8%","Poor"
"67","Quentin Johnston",LAC,"at KC","3 out of 5 stars","5.4","F","5.2","-4.4","0% (0/5)","2%","Bad"
"68","Alec Pierce",IND,"vs. CLE","1 out of 5 stars","3.6","F","5.1","-1.8","25% (4/16)","5%","Bad"
"69","Marquez Valdes-Scantling",KC,"vs. LAC","4 out of 5 stars","7.8","F","5.1","-2.2","29% (5/17)","8%","Bad"
"70","Rashod Bateman",BAL,"vs. DET","3 out of 5 stars","6.0","F","4.9","-3.3","0% (0/7)","4%","Bad"
"71","Donovan Peoples-Jones",CLE,"at IND","4 out of 5 stars","7.2","F","4.9","0.0","60% (9/15)","3%","Bad"
"72","JuJu Smith-Schuster",NE,"vs. BUF","4 out of 5 stars","-","F","4.7","-3.2","20% (3/15)","3%","Bad"
"73","Kalif Raymond",DET,"at BAL","3 out of 5 stars","4.4","F","4.7","+1.5","52% (9/17)","5%","Good"
"74","Deonte Harty",BUF,"at NE","3 out of 5 stars","5.2","F","4.6","+0.4","33% (2/6)","6%","Average"
"75","Olamide Zaccheaus",PHI,"vs. MIA","3 out of 5 stars","6.2","F","4.0","-0.8","12% (2/16)","5%","Great"
"76","Mack Hollins",ATL,"at TB","3 out of 5 stars","5.8","F","4.0","0.0","47% (8/17)","4%","Bad"
"77","Deven Thompkins",TB,"vs. ATL","2 out of 5 stars","5.0","F","3.8","-","-","9%","Poor"
"78","Brandon Johnson",DEN,"vs. GB","2 out of 5 stars","4.4","F","3.7","+2.1","50% (3/6)","12%","Great"
"79","Calvin Austin III",PIT,"at LAR","2 out of 5 stars","-","F","3.5","-0.1","40% (2/5)","3%","Great"
"80","Ray-Ray McCloud III",SF,"at MIN","3 out of 5 stars","-","F","3.3","+1.8","45% (5/11)","2%","Bad"
"81","Tyler Scott",CHI,"vs. LV","3 out of 5 stars","6.6","F","3.3","-0.2","50% (3/6)","4%","Bad"
"82","Jamal Agnew",JAC,"at NO","3 out of 5 stars","6.4","F","2.9","0.0","23% (3/13)","4%","Bad"
"83","Tre Tucker",LV,"at CHI","4 out of 5 stars","-","F","2.8","+1.3","50% (2/4)","1%","Bad"
"84","Isaiah Hodgins",NYG,"vs. WAS","4 out of 5 stars","6.8","F","2.7","+1.8","38% (5/13)","6%","Great"
"85","Van Jefferson",ATL,"at TB","3 out of 5 stars","6.4","F","2.7","-1.6","25% (4/16)","1%","Bad"
"86","Dyami Brown",WAS,"at NYG","3 out of 5 stars","5.2","F","2.7","-1.6","22% (2/9)","8%","Bad"
"87","Demario Douglas",NE,"vs. BUF","4 out of 5 stars","-","F","2.7","-0.4","60% (3/5)","6%","Bad"
"88","Trent Sherfield",BUF,"at NE","3 out of 5 stars","5.4","F","2.6","+0.5","43% (7/16)","2%","Bad"
"89","Cedrick Wilson Jr.",MIA,"at PHI","3 out of 5 stars","6.0","F","2.5","-0.9","28% (4/14)","0%","Bad"
"90","Jake Bobo",SEA,"vs. ARI","4 out of 5 stars","-","F","2.5","+2.5","75% (3/4)","7%","Average"
"91","Tyquan Thornton",NE,"vs. BUF","4 out of 5 stars","8.4","F","2.4","-1.7","27% (3/11)","6%","Bad"
"92","Dontayvion Wicks",GB,"at DEN","4 out of 5 stars","-","F","2.3","+0.2","40% (2/5)","3%","Great"
"93","KhaDarel Hodge",ATL,"at TB","3 out of 5 stars","6.4","F","2.3","-0.3","33% (5/15)","3%","Bad"
"94","Hunter Renfrow",LV,"at CHI","4 out of 5 stars","7.2","F","2.2","-2.5","7% (1/13)","1%","Bad"
"95","Khalil Shakir",BUF,"at NE","3 out of 5 stars","-","F","2.1","-1.0","12% (2/16)","2%","Great"
"96","Justyn Ross",KC,"vs. LAC","4 out of 5 stars","7.8","F","2.0","-0.8","16% (1/6)","1%","Bad"
"97","Parris Campbell",NYG,"vs. WAS","4 out of 5 stars","6.2","F","2.0","-0.6","37% (6/16)","11%","Bad"
"98","Marquise Goodwin",CLE,"at IND","4 out of 5 stars","-","F","2.0","+2.0","41% (5/12)","3%","Bad"
"99","Scott Miller",ATL,"at TB","3 out of 5 stars","-","F","1.9","-0.4","31% (5/16)","0%","Bad"
"100","Greg Dortch",ARI,"at SEA","3 out of 5 stars","-","F","1.8","-0.5","14% (2/14)","8%","Bad"
"101","Derius Davis",LAC,"at KC","3 out of 5 stars","5.4","F","1.8","+1.1","75% (3/4)","0%","Bad"
"102","Tim Jones",JAC,"at NO","3 out of 5 stars","-","F","1.8","-0.9","22% (2/9)","0%","Bad"
"103","Devin Duvernay",BAL,"vs. DET","3 out of 5 stars","-","F","1.6","-1.4","21% (3/14)","2%","Bad"
"104","Ronnie Bell",SF,"at MIN","3 out of 5 stars","-","F","1.5","-","-","2%","Great"
"105","Mecole Hardman Jr.",KC,"vs. LAC","4 out of 5 stars","-","F","1.4","+1.6","25% (2/8)","0%","Bad"
"106","David Bell",CLE,"at IND","4 out of 5 stars","-","F","1.3","-0.3","42% (6/14)","0%","Bad"
"107","Zach Pascal",ARI,"at SEA","3 out of 5 stars","-","F","1.2","-0.6","14% (2/14)","3%","Bad"
"108","Robbie Chosen",MIA,"at PHI","3 out of 5 stars","-","F","1.0","-1.9","14% (2/14)","1%","Great"
"109","Ben Skowronek",LAR,"vs. PIT","3 out of 5 stars","-","F","0.9","-2.4","7% (1/14)","9%","Bad"
"110","Isaiah McKenzie",IND,"vs. CLE","1 out of 5 stars","-","F","0.9","-1.2","31% (5/16)","0%","Bad"
"111","DeAndre Carter",LV,"at CHI","4 out of 5 stars","-","F","0.9","-1.0","29% (5/17)","1%","Bad"
"112","Byron Pringle",WAS,"at NYG","3 out of 5 stars","-","F","0.9","0.0","38% (5/13)","1%","Bad"
"113","Julio Jones",PHI,"vs. MIA","3 out of 5 stars","-","F","0.9","+0.2","50% (4/8)","0%","N/A"
"114","Cedric Tillman",CLE,"at IND","4 out of 5 stars","-","F","0.9","-1.1","33% (1/3)","30%","Bad"
"115","Keelan Doss",LAC,"at KC","3 out of 5 stars","-","F","0.8","-","-","0%","N/A"
"116","Velus Jones Jr.",CHI,"vs. LV","3 out of 5 stars","-","F","0.8","-0.4","36% (4/11)","0%","Bad"
"117","Lil'Jordan Humphrey",DEN,"vs. GB","2 out of 5 stars","-","F","0.8","+0.3","40% (2/5)","11%","Good"
"118","Keith Kirkwood",NO,"vs. JAC","3 out of 5 stars","-","F","0.8","-0.7","16% (1/6)","5%","Bad"
"119","Sterling Shepard",NYG,"vs. WAS","4 out of 5 stars","-","F","0.7","-1.3","33% (2/6)","2%","Bad"
"120","Trent Taylor",CHI,"vs. LV","3 out of 5 stars","-","F","0.7","-0.7","9% (1/11)","0%","N/A"
"121","Jalen Nailor",MIN,"vs. SF","3 out of 5 stars","-","F","0.6","-0.6","0% (0/3)","0%","N/A"
"122","Samori Toure",GB,"at DEN","4 out of 5 stars","-","F","0.5","-0.3","40% (4/10)","4%","Bad"
"123","Cody Thompson",SEA,"vs. ARI","4 out of 5 stars","-","F","0.5","-","-","0%","N/A"
"124","Trishton Jackson",MIN,"vs. SF","3 out of 5 stars","-","F","0.5","-","-","0%","N/A"
"125","Juwann Winfree",IND,"vs. CLE","1 out of 5 stars","-","F","0.5","-1.4","0% (0/3)","0%","N/A"
"126","Austin Trammell",LAR,"vs. PIT","3 out of 5 stars","-","F","0.5","-","-","0%","N/A"
"127","Rakim Jarrett",TB,"vs. ATL","2 out of 5 stars","-","F","0.5","-0.5","40% (2/5)","0%","Bad"
"128","Antoine Green",DET,"at BAL","3 out of 5 stars","-","F","0.4","-","-","0%","N/A"
"129","Miles Boykin",PIT,"at LAR","2 out of 5 stars","-","F","0.3","-0.8","14% (1/7)","0%","N/A"
"130","Sederrick Cunningham",FA,"-","-","-","F","0.2","-","-","0%","N/A"
"131","N'Keal Harry",MIN,"vs. SF","3 out of 5 stars","-","F","0.0","-","-","0%","N/A"
"132","Jamison Crowder",WAS,"at NYG","3 out of 5 stars","-","F","0.0","-0.5","16% (1/6)","0%","Bad"
"133","Britain Covey",PHI,"vs. MIA","3 out of 5 stars","-","F","0.0","-0.2","0% (0/2)","0%","N/A"
