"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"18","Javonte Williams",DEN,"vs. GB","5 out of 5 stars","9.0","B","11.5","-4.2","0% (0/5)","5%","Bad"
"19","Kareem Hunt",CLE,"at IND","4 out of 5 stars","6.2","B","11.5","-1.6","23% (3/13)","4%","Great"
"20","Alexander Mattison",MIN,"vs. SF","3 out of 5 stars","5.0","B","11.3","-1.1","31% (5/16)","23%","Bad"
"21","Roschon Johnson",CHI,"vs. LV","5 out of 5 stars","8.4","B-","10.7","-0.9","20% (1/5)","13%","Bad"
"22","Jonathan Taylor",IND,"vs. CLE","2 out of 5 stars","4.8","B-","10.1","-3.5","22% (2/9)","12%","Bad"
"23","Najee Harris",PIT,"at LAR","2 out of 5 stars","3.0","C+","10.0","0.0","46% (7/15)","6%","Bad"
"24","Jaylen Warren",PIT,"at LAR","2 out of 5 stars","3.4","B-","9.8","+0.7","42% (6/14)","7%","Bad"
"25","Zack Moss",IND,"vs. CLE","2 out of 5 stars","3.2","C+","9.4","+3.6","41% (5/12)","22%","Great"
"26","Jaleel McLaughlin",DEN,"vs. GB","5 out of 5 stars","8.4","C+","9.0","+3.9","66% (4/6)","8%","Great"
"27","Justice Hill",BAL,"vs. DET","2 out of 5 stars","3.6","C","8.8","+0.1","26% (4/15)","13%","Good"
"28","Gus Edwards",BAL,"vs. DET","2 out of 5 stars","3.4","C","8.7","-0.3","42% (6/14)","7%","Poor"
"29","Jahmyr Gibbs",DET,"at BAL","3 out of 5 stars","7.4","C","8.7","-4.3","0% (0/4)","6%","Bad"
"30","D'Onta Foreman",CHI,"vs. LV","5 out of 5 stars","9.2","C","8.4","+0.4","41% (5/12)","4%","Bad"
"31","AJ Dillon",GB,"at DEN","4 out of 5 stars","6.8","C","8.0","+0.5","33% (5/15)","15%","Bad"
"32","Tyler Allgeier",ATL,"at TB","3 out of 5 stars","4.8","C","8.0","+1.8","50% (8/16)","17%","Average"
"33","Craig Reynolds",DET,"at BAL","3 out of 5 stars","5.4","C-","7.9","-0.7","27% (3/11)","6%","Great"
"34","Keaontay Ingram",ARI,"at SEA","2 out of 5 stars","3.8","C","7.9","-1.3","14% (2/14)","3%","Bad"
"35","Antonio Gibson",WAS,"at NYG","3 out of 5 stars","4.8","C","7.8","-0.4","40% (6/15)","5%","Good"
"36","Latavius Murray",BUF,"at NE","3 out of 5 stars","5.2","C-","7.6","+1.5","68% (11/16)","19%","Bad"
"37","Ezekiel Elliott",NE,"vs. BUF","4 out of 5 stars","7.4","C-","7.5","+1.7","71% (10/14)","6%","Average"
"38","Jerick McKinnon",KC,"vs. LAC","3 out of 5 stars","7.2","D+","7.3","+2.5","47% (8/17)","4%","Great"
"39","Elijah Mitchell",SF,"at MIN","2 out of 5 stars","4.2","D+","6.7","-1.3","28% (2/7)","4%","Bad"
"40","Zach Evans",LAR,"vs. PIT","3 out of 5 stars","6.4","C-","6.4","+0.9","100% (1/1)","1%","Bad"
"41","Zach Charbonnet",SEA,"vs. ARI","4 out of 5 stars","8.0","D","6.1","-1.9","20% (1/5)","8%","Bad"
"42","Jordan Mason",SF,"at MIN","2 out of 5 stars","4.0","D","6.1","+1.2","57% (8/14)","2%","Great"
"43","Kenneth Gainwell",PHI,"vs. MIA","5 out of 5 stars","9.0","D","5.6","-0.5","33% (5/15)","7%","Bad"
"44","Emari Demercado",ARI,"at SEA","2 out of 5 stars","5.2","D","5.4","+0.3","50% (3/6)","6%","Great"
"45","Jeff Wilson Jr.",MIA,"at PHI","2 out of 5 stars","4.0","D","5.4","+0.3","55% (5/9)","0%","N/A"
"46","Royce Freeman",LAR,"vs. PIT","3 out of 5 stars","6.8","D","5.2","-0.3","25% (1/4)","0%","N/A"
"47","Samaje Perine",DEN,"vs. GB","5 out of 5 stars","9.0","D-","5.2","+0.3","37% (6/16)","6%","Bad"
"48","Joshua Kelley",LAC,"at KC","2 out of 5 stars","4.8","D-","5.0","-0.9","45% (5/11)","9%","Bad"
"49","Kendre Miller",NO,"vs. JAC","4 out of 5 stars","5.4","F","4.6","-1.0","25% (1/4)","1%","Bad"
"50","Damien Williams",ARI,"at SEA","2 out of 5 stars","4.6","F","4.4","+1.3","50% (1/2)","1%","Bad"
"51","Cam Akers",MIN,"vs. SF","3 out of 5 stars","4.4","F","4.4","+1.9","38% (5/13)","1%","Great"
"52","Salvon Ahmed",MIA,"at PHI","2 out of 5 stars","5.0","F","3.7","+0.2","25% (3/12)","5%","Great"
"53","Ke'Shawn Vaughn",TB,"vs. ATL","3 out of 5 stars","6.8","F","3.5","-0.8","16% (2/12)","13%","Bad"
"54","Clyde Edwards-Helaire",KC,"vs. LAC","3 out of 5 stars","6.4","F","3.2","-2.1","18% (2/11)","3%","Great"
"55","Matt Breida",NYG,"vs. WAS","3 out of 5 stars","5.6","F","3.1","-0.2","31% (5/16)","4%","Great"
"56","Tank Bigsby",JAC,"at NO","2 out of 5 stars","4.4","F","3.1","-1.2","16% (1/6)","11%","Great"
"57","Jamaal Williams",NO,"vs. JAC","4 out of 5 stars","7.6","F","2.9","-0.3","38% (5/13)","5%","Bad"
"58","Darrynton Evans",CHI,"vs. LV","5 out of 5 stars","9.0","F","2.8","-","-","4%","Bad"
"59","Ameer Abdullah",LV,"at CHI","4 out of 5 stars","7.4","F","2.6","+0.3","41% (7/17)","1%","Bad"
"60","Cordarrelle Patterson",ATL,"at TB","3 out of 5 stars","5.6","F","2.4","+0.1","45% (5/11)","0%","N/A"
"61","Zamir White",LV,"at CHI","4 out of 5 stars","7.0","F","2.2","-1.6","8% (1/12)","1%","Bad"
"62","Kyle Juszczyk",SF,"at MIN","2 out of 5 stars","4.6","F","2.1","0.0","26% (4/15)","13%","Bad"
"63","Boston Scott",PHI,"vs. MIA","5 out of 5 stars","9.4","F","1.9","0.0","40% (6/15)","3%","Bad"
"64","Myles Gaskin",LAR,"vs. PIT","3 out of 5 stars","-","F","1.8","-0.6","25% (1/4)","0%","N/A"
"65","Keaton Mitchell",BAL,"vs. DET","2 out of 5 stars","2.8","F","1.7","-1.0","0% (0/1)","0%","N/A"
"66","Ty Montgomery II",NE,"vs. BUF","4 out of 5 stars","7.0","F","1.7","-0.2","33% (2/6)","5%","Bad"
"67","DeeJay Dallas",SEA,"vs. ARI","4 out of 5 stars","8.0","F","1.6","-0.2","30% (4/13)","1%","Bad"
"68","Kyren Williams",LAR,"vs. PIT","3 out of 5 stars","6.4","F","1.5","+1.2","50% (7/14)","32%","Great"
"69","Pierre Strong Jr.",CLE,"at IND","4 out of 5 stars","7.0","F","1.3","+0.4","35% (5/14)","16%","Average"
"70","Chris Rodriguez Jr.",WAS,"at NYG","3 out of 5 stars","-","F","1.2","-0.7","0% (0/3)","2%","Bad"
"71","Alec Ingold",MIA,"at PHI","2 out of 5 stars","4.0","F","1.0","+0.5","31% (5/16)","1%","Bad"
"72","David Montgomery",DET,"at BAL","3 out of 5 stars","5.8","F","0.8","+0.6","46% (7/15)","28%","Great"
"73","D'Ernest Johnson",JAC,"at NO","2 out of 5 stars","4.8","F","0.8","-0.8","28% (4/14)","0%","Bad"
"74","Damien Harris",BUF,"at NE","3 out of 5 stars","4.8","F","0.7","-1.0","36% (4/11)","8%","Poor"
"75","Khari Blasingame",CHI,"vs. LV","5 out of 5 stars","9.0","F","0.7","-","-","1%","Bad"
"76","Eric Gray",NYG,"vs. WAS","3 out of 5 stars","5.6","F","0.6","-0.7","16% (1/6)","3%","Bad"
"77","Sean Tucker",TB,"vs. ATL","3 out of 5 stars","7.2","F","0.5","-2.8","0% (0/5)","1%","Bad"
"78","Devine Ozigbo",DET,"at BAL","3 out of 5 stars","5.8","F","0.4","-","-","1%","Bad"
"79","Darrell Henderson Jr.",LAR,"vs. PIT","3 out of 5 stars","-","F","0.4","-","-","0%","N/A"
"80","C.J. Ham",MIN,"vs. SF","3 out of 5 stars","5.0","F","0.3","-0.4","15% (2/13)","0%","Bad"
"81","Chris Brooks",MIA,"at PHI","2 out of 5 stars","3.2","F","0.3","+1.1","50% (2/4)","2%","Bad"
"82","Ronnie Rivers",LAR,"vs. PIT","3 out of 5 stars","6.0","F","0.3","-1.8","22% (2/9)","1%","Bad"
"83","Patrick Ricard",BAL,"vs. DET","2 out of 5 stars","2.8","F","0.3","-0.6","26% (4/15)","2%","Bad"
"84","Isaiah Spiller",LAC,"at KC","2 out of 5 stars","4.8","F","0.3","-1.4","7% (1/13)","2%","Bad"
"85","Gary Brightwell",NYG,"vs. WAS","3 out of 5 stars","5.6","F","0.3","-1.0","25% (4/16)","1%","Bad"
"86","Ty Chandler",MIN,"vs. SF","3 out of 5 stars","5.0","F","0.3","-1.6","10% (1/10)","1%","Bad"
"87","Reggie Gilliam",BUF,"at NE","3 out of 5 stars","5.8","F","0.3","-0.8","12% (1/8)","0%","N/A"
"88","Jakob Johnson",LV,"at CHI","4 out of 5 stars","7.4","F","0.3","-0.4","15% (2/13)","0%","Bad"
"89","Michael Burton",DEN,"vs. GB","5 out of 5 stars","-","F","0.2","-0.2","25% (3/12)","0%","Bad"
"90","Melvin Gordon III",BAL,"vs. DET","2 out of 5 stars","2.0","F","0.1","+0.6","45% (5/11)","2%","Bad"
"91","Keith Smith",ATL,"at TB","3 out of 5 stars","5.6","F","0.0","-0.1","9% (1/11)","1%","Bad"
"92","Trey Sermon",IND,"vs. CLE","2 out of 5 stars","4.2","F","0.0","-0.6","25% (1/4)","1%","Bad"
